# Integration Results
# N = 500000
# Integration interval: [0.00000000000000000000, 1.57079632679489655800]
#
# Method	Result		Relative Error	Time (s)
#--------------------------------------------------------
Trapezoidal	1.90523869047783622754	0.00000000000254008182	0.011628
GSL		1.90523869048267568971	0.00000000000000000000	0.000028
True		1.90523869048267568971	0.00000000000000000000	0.000000
